neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Inner Richmond,37.77689,-122.45594,Entire home/apt,6,50,4.96,f,0,5,47,0.5,0.3333333333333333,0.5,24,6.163314804034641
Bernal Heights,37.74403,-122.41755,Private room,2,319,4.98,t,2,129,45,1.0,0.5,1.0,20,4.430816798843313
Outer Mission,37.73218,-122.43726,Private room,1,449,4.92,t,3,316,27,1.0,1.0,1.0,5,4.442651256490317
Haight Ashbury,37.76829,-122.43968,Entire home/apt,4,13,5.0,f,0,304,72,0.5,0.5,0.75,6,6.104793232414985
Inner Sunset,37.76459,-122.45483,Entire home/apt,4,51,4.84,f,0,173,64,0.5,0.25,0.5,21,4.997212273764115
Russian Hill,37.79769,-122.41155,Entire home/apt,5,39,4.82,t,22,357,88,0.4,0.2,0.8,18,5.780743515792329
Mission,37.75594,-122.41105,Private room,1,92,4.63,f,0,192,45,1.0,1.0,1.0,20,4.454347296253507
Western Addition,37.7699,-122.42917,Private room,2,432,4.92,t,2,318,40,0.5,0.75,0.5,6,4.74493212836325
Haight Ashbury,37.76864,-122.45267,Entire home/apt,6,75,4.89,f,29,351,37,0.5,0.4166666666666667,0.5,24,7.150701457592526
South of Market,37.78097,-122.40628,Entire home/apt,4,60,4.75,t,14,74,53,0.25,0.25,0.25,4,5.10594547390058
Outer Mission,37.73175,-122.44106,Private room,6,91,4.76,f,30,180,56,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,4.852030263919617
Bernal Heights,37.74584,-122.42412,Entire home/apt,4,5,5.0,f,15,107,29,0.25,0.25,0.5,13,4.59511985013459
Bernal Heights,37.74762,-122.41584,Entire home/apt,3,136,4.8,f,0,179,52,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,5.204006687076795
Bernal Heights,37.74189,-122.41902,Private room,2,382,4.82,t,12,127,23,0.5,0.5,0.5,2,4.3694478524670215
Bayview,37.74444,-122.40408,Private room,2,400,4.97,f,1,211,31,0.5,0.5,0.5,20,4.553876891600541
Mission,37.7562,-122.40944,Entire home/apt,5,57,4.81,f,6,291,35,0.4,0.3,0.8,20,5.375278407684165
Mission,37.75292,-122.4186,Private room,2,542,4.74,t,9,339,38,0.5,0.5,0.5,20,4.394449154672439
Inner Sunset,37.76618,-122.45311,Entire home/apt,4,9,4.5,f,0,173,52,0.5,0.25,0.5,21,4.997212273764115
Haight Ashbury,37.77426,-122.45376,Entire home/apt,2,557,4.94,t,2,174,46,0.5,0.5,0.5,24,5.056245805348308
Pacific Heights,37.79156,-122.44492,Entire home/apt,5,0,0.0,f,1,148,28,0.4,0.5,0.0,3,5.480638923341991
Potrero Hill,37.76497,-122.39798,Entire home/apt,4,106,4.9,t,9,273,43,0.5,0.5,0.5,7,6.0063531596017325
West of Twin Peaks,37.73993,-122.4686,Entire home/apt,2,592,4.83,t,0,102,37,0.5,0.5,0.5,22,4.3694478524670215
Inner Richmond,37.77739,-122.46161,Entire home/apt,2,342,4.77,t,2,210,37,0.5,0.5,1.0,15,5.087596335232384
Noe Valley,37.7527,-122.43294,Entire home/apt,5,270,4.72,f,9,344,37,0.2,0.2,0.2,13,5.288267030694535
Noe Valley,37.74988,-122.4355,Entire home/apt,2,516,4.92,t,6,281,33,0.5,0.5,0.5,13,5.0689042022202315
Noe Valley,37.75277,-122.43517,Entire home/apt,7,146,4.86,f,21,356,40,0.2857142857142857,0.14285714285714285,0.42857142857142855,13,5.472270673671475
North Beach,37.80074,-122.41048,Entire home/apt,6,209,4.95,t,0,92,38,0.3333333333333333,0.16666666666666666,0.5,18,5.820082930352362
Russian Hill,37.80592,-122.41902,Entire home/apt,5,228,4.68,f,11,296,23,0.4,0.2,0.8,18,5.8289456176102075
Haight Ashbury,37.77234,-122.44622,Entire home/apt,5,186,4.97,t,27,210,79,0.2,0.2,0.6,24,5.225746673713202
